Handle,Title,Body (HTML),Do not UPLOAD,Plating,Tags,Stone,Size,Variant Price,Category,Vendor
E-S0326925 Sterling Silver,E-S0326,925 Sterling Silver Earring height measures: 11mm Opal diameter measures: 3mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,Earring height measures: 11mm Opal diameter measures: 3mm,28,Earrings,Gemnel
B-R5111925 Sterling Silver,B-R5111,925 Sterling Silver Length: 20cm+5cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",White Zircon,Length: 20cm+5cm,28,Bracelet,Gemnel
E-S5180925 Sterling Silver,E-S5180,925 Sterling Silver Length: 0.5 Inches 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal               zircon,Length: 0.5 Inches,24,Earrings,Gemnel
E-S3329925 Sterling Silver,E-S3329,925 Sterling Silver Length:13mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,Length:13mm,24,Earrings,Gemnel
E-S1027925 Sterling Silver,E-S1027,925 Sterling Silver 5mm Opal 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,5mm Opal,26,Earrings,Gemnel
B-R2032925 Sterling Silver,B-R2032,"925 Sterling Silver  Length 18.7mm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal               zircon," Length 18.7mm",35,Bracelet,Gemnel
N-E5147925 Sterling Silver,N-E5147,925 Sterling Silver 40cm+5cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,40cm+5cm,38,Necklace,Gemnel
E-S11118925 Sterling Silver,E-S11118,925 Sterling Silver Stud diameter 4.5mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,Stud diameter 4.5mm,24,Earrings,Gemnel
E-H4133925 Sterling Silver,E-H4133,"925 Sterling Silver  Hoop outer diameter: 12.5mm. Oval pendant: 6 x 8mm. Freshwater Pearl: approx. 2.5mm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",shell pearl," Hoop outer diameter: 12.5mm. Oval pendant: 6 x 8mm. Freshwater Pearl: approx. 2.5mm",28,Earrings,Gemnel
N-C1145925 Sterling Silver,N-C1145,"925 Sterling Silver Eye 5*12mm, Opal 2.5mm     Length:40cm+5cm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,"Eye 5*12mm, Opal 2.5mm     Length:40cm+5cm",34,Necklace,Gemnel
E-S2714925 Sterling Silver,E-S2714,925 Sterling Silver wide 12mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,wide 12mm,28,Earrings,Gemnel
E-H3096925 Sterling Silver,E-H3096,"925 Sterling Silver Inner Dia:8mm,Band:1.2mm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,"Inner Dia:8mm,Band:1.2mm",32,Earrings,Gemnel
E-H1150925 Sterling Silver,E-H1150,925 Sterling Silver  Diameter 10mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                     zircon, Diameter 10mm,34,Earrings,Gemnel
E-S4220925 Sterling Silver,E-S4220,925 Sterling Silver 4x2mm opal / 2mm zircon  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,4x2mm opal / 2mm zircon ,24,Earrings,Gemnel
R-F1072925 Sterling Silver,R-F1072,"925 Sterling Silver  4mm Opal                          size 6                               14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                     zircon," 4mm Opal                          size 6                              ",26,Ring,Gemnel
N-E2722925 Sterling Silver,N-E2722,925 Sterling Silver 12mm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,12mm ,42,Ring,Gemnel
E-D4122925 Sterling Silver,E-D4122,"925 Sterling Silver  4x2mm opal/  2mm zircon/ 10mm inner diameter 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                     zircon," 4x2mm opal/  2mm zircon/ 10mm inner diameter",29,Earrings,Gemnel
N-E0079925 Sterling Silver,N-E0079,925 Sterling Silver 2 cm long  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,2 cm long ,42,,Gemnel
B-R5065925 Sterling Silver,B-R5065,"925 Sterling Silver  Lock Measurements: 1.3 x 0.8 cm                                      Length: 16cm+4cm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",White Zircon," Lock Measurements: 1.3 x 0.8 cm                                      Length: 16cm+4cm",39,Bracelet,Gemnel
N-E5164925 Sterling Silver,N-E5164,925 Sterling Silver Chain Length: 40+5 cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,Chain Length: 40+5 cm,36,Necklace,Gemnel
N-E2195925 Sterling Silver,N-E2195,925 Sterling Silver Length:40cm+5cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,Length:40cm+5cm,36,Necklace,Gemnel
R-F3097925 Sterling Silver,R-F3097,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,/,26,Ring,Gemnel
N-E1134925 Sterling Silver,N-E1134,925 Sterling Silver 5mm Opal                           Flat Chain: 40+5cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,5mm Opal                           Flat Chain: 40+5cm,39,Earrings,Gemnel
E-S2709925 Sterling Silver,E-S2709,925 Sterling Silver 12mm*15mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,12mm*15mm,39,Earrings,Gemnel
E-D3056925 Sterling Silver,E-D3056,925 Sterling Silver Opal:3mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal              freshwater pearl,Opal:3mm,32,Earrings,Gemnel
E-S4080925 Sterling Silver,E-S4080,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,/,26,Ring,Gemnel
B-R3004925 Sterling Silver,B-R3004,925 Sterling Silver Length: 16cm+4cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,Length: 16cm+4cm,36,Bracelet,Gemnel
R-F3125925 Sterling Silver,R-F3125,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,/,26,Ring,Gemnel
N-E4067925 Sterling Silver,N-E4067,925 Sterling Silver Chain: 40+5cm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                 zircon,Chain: 40+5cm ,39,Necklace,Gemnel
R-F3222925 Sterling Silver,R-F3222,925 Sterling Silver Opal:2mm                   size5/6/7                               15pcs for each size platinum                 1 micron                  ,925 Sterling Silver,platinum                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                 ,Opal:2mm                   size5/6/7                               15pcs for each size,26,Ring,Gemnel
R-F1315925 Sterling Silver,R-F1315,925 Sterling Silver Band 1.2mm                      size5/6/7                               15pcs for each size 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal             zircon,Band 1.2mm                      size5/6/7                               15pcs for each size,29,Ring,Gemnel
N-E4188925 Sterling Silver,N-E4188,925 Sterling Silver 12 x 6mm opal                      Chain: 40+5cm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,12 x 6mm opal                      Chain: 40+5cm ,39,Necklace,Gemnel
N-E4187925 Sterling Silver,N-E4187,925 Sterling Silver Opal 2.5mm / Zircon 1.5 mm                                    Chain: 40+5cm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                 zircon,Opal 2.5mm / Zircon 1.5 mm                                    Chain: 40+5cm ,36,Necklace,Gemnel
R-F5131925 Sterling Silver,R-F5131,925 Sterling Silver SIZE 6  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,SIZE 6 ,38,Ring,Gemnel
E-H3168925 Sterling Silver,E-H3168,925 Sterling Silver Dia: 43mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,Dia: 43mm,42,Ring,Gemnel
N-E1175925 Sterling Silver,N-E1175,925 Sterling Silver Chain: 40+5cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,Chain: 40+5cm,38,Necklace,Gemnel
"N-E2240925 Sterling Silver","N-E2240","925 Sterling Silver  6mm charm                   Length:40cm+5cm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon," 6mm charm                   Length:40cm+5cm",39,Necklace,Gemnel
"N-E2240925 Sterling Silver","N-E2240","925 Sterling Silver  6mm charm                   Length:40cm+5cm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon," 6mm charm                   Length:40cm+5cm",42,Earrings,Gemnel
R-F3045925 Sterling Silver,R-F3045,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",Zircon                      (#32 sapphire blue)     (#21 white)                (#16 D-Peridot)         (#3 Rose) ,/,24,Ring,Gemnel
R-F11166925 Sterling Silver,R-F11166,925 Sterling Silver Thickness 2.5mm                   size5/6/7                               15pcs for each size 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,Thickness 2.5mm                   size5/6/7                               15pcs for each size,26,Ring,Gemnel
N-E1148925 Sterling Silver,N-E1148,"925 Sterling Silver  Dogtag: 15*20mm                Chain Length: 40+5 cm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/," Dogtag: 15*20mm                Chain Length: 40+5 cm",42,Necklace,Gemnel
E-S3275925 Sterling Silver,E-S3275,925 Sterling Silver Length:13mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,Length:13mm,28,Earrings,Gemnel
R-F0136925 Sterling Silver,R-F0136,925 Sterling Silver size5/6/7                               15pcs for each size 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,size5/6/7                               15pcs for each size,24,Ring,Gemnel
N-E5284925 Sterling Silver,N-E5284,925 Sterling Silver Charm 1.4 x 1.1 cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",Malachite,Charm 1.4 x 1.1 cm,45,,Gemnel
N-E5283925 Sterling Silver,N-E5283,925 Sterling Silver Charm 1.4 x 1.1 cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",Mother of Pearl,Charm 1.4 x 1.1 cm,45,,Gemnel
R-F1271925 Sterling Silver,R-F1271,925 Sterling Silver size5/6/7                               20pcs for each size 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,size5/6/7                               20pcs for each size,28,Ring,Gemnel
N-E5144925 Sterling Silver,N-E5144,925 Sterling Silver 1 1/8in total drop            Charm 3/4in by 1/2in 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,1 1/8in total drop            Charm 3/4in by 1/2in,42,,Gemnel
E-S5283925 Sterling Silver,E-S5283,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",White Zircon,/,22,Earrings,Gemnel
E-S5277925 Sterling Silver,E-S5277,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,/,20,Ring,Gemnel
E-S5194925 Sterling Silver,E-S5194,925 Sterling Silver Stone part:16mm Length:16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Stone part:16mm Length:16cm+4cm,34,Earrings,Gemnel
"E-H1069-2925 Sterling Silver","E-H1069-2",925 Sterling Silver Inner Dia:8mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Turquoise,Inner Dia:8mm,29,Earrings,Gemnel
E-H1071925 Sterling Silver,E-H1071,925 Sterling Silver Baguette 2*4mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Zircon (#5 Ruby),Baguette 2*4mm,22,Earrings,Gemnel
E-H1357925 Sterling Silver,E-H1357,925 Sterling Silver Baguette 2*4mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Turquoise,Baguette 2*4mm,22,Earrings,Gemnel
E-S5233925 Sterling Silver,E-S5233,925 Sterling Silver Length: 40cm+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Length: 40cm+5cm,39,Earrings,Gemnel
N-E3077925 Sterling Silver,N-E3077,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,/,29,Necklace,Gemnel
